vereador,mes1,mes2,mes3,mes4,total
Zé Carlos,37252.65,37252.65,37252.65,41772.96,153530.91
Paulo Haddad,37252.65,37252.65,37252.65,41772.96,153530.91
Professor Alberto,37252.65,37252.65,37252.65,41772.96,153530.91
Rodrigo da Farmadic,37252.65,37252.65,37252.65,41772.96,153530.91
Nelson Hossri,37252.65,37252.65,37252.65,41772.96,153530.91
Marrom Cunha,37252.65,37252.65,37252.65,41772.96,153530.91
Rubens Gás,37252.65,37252.65,37252.65,41772.96,153530.91
Marcelo Silva,37252.65,37252.65,37252.65,41772.96,153530.91
Major Jaime,37252.65,37252.65,37252.65,41772.96,153530.91
Carlinhos Camelô,37252.65,37252.65,37252.65,41772.96,153530.91
Luiz Carlos Rossini,37252.65,37252.65,37252.65,41772.96,153530.91
Juscelino Barbarense,37252.65,37252.65,37252.65,41772.96,153530.91
Jorge Schneider,37252.65,37252.65,37252.65,41772.96,153530.91
Jair da Farmácia,37252.65,37252.65,37252.65,41772.96,153530.91
Higor do Campo Gde,37252.65,37252.65,37252.65,41772.96,153530.91
Gustavo Petta,37252.65,37252.65,37252.65,41772.96,153530.91
Guida Calixto,37252.65,37252.65,37252.65,41772.96,153530.91
Filipe Marchesi,37252.65,37252.65,37252.65,41772.96,153530.91
Fernando Mendes,37252.65,37252.65,37252.65,41772.96,153530.91
Eduardo Magoga,37252.65,37252.65,37252.65,41772.96,153530.91
Edison Ribeiro,37252.65,37252.65,37252.65,41772.96,153530.91
Cecílio,37252.65,37252.65,37252.65,41772.96,153530.91
Carmo Luiz,37252.65,37252.65,37252.65,41534.61,153292.56
Marcelo da Farmácia,37252.65,37252.65,36984.23,41772.96,153262.49
Debora Pallermo,37252.65,37252.65,36916.32,41772.96,153194.58
Paulo Búfalo,37252.65,37252.65,36916.32,41772.96,153194.58
Permínio,37252.65,37252.65,36916.32,41772.96,153194.58
Arnaldo Salvetti,34730.15,37252.65,37252.65,41772.96,151008.41
Otto Alejandro,33048.48,37252.65,37252.65,41772.96,149326.74
Mariana Conti,37252.65,37252.65,37252.65,37252.65,149010.6
Paolla Miguel,37252.65,37252.65,37252.65,36637.6,148395.55000000002
Luiz Henrique Cirilo,37252.65,37252.65,32207.64,36072.55,142785.49
Paulo Gaspar,32207.64,32207.64,32207.64,36072.55,132695.47
